web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,image,image2
"1788937524-1","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Earthbreaker","Ascendancy: Titan","","","","","25","25% chance for Slam Skills you use yourself to cause an additional Aftershock","","","","","Slam","Titan","","Warrior","","","","","","Character: Warrior","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/Titan/TitanSlamSkillsAftershock.webp",""
"1788937524-2","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Ancestral Empowerment","Ascendancy: Titan","","","","","","Every second Slam Skill you use yourself is Ancestrally Boosted","","","","","Slam","Titan","","Warrior","","","","","","Character: Warrior","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/Titan/TitanSlamSkillsFistOfWar.webp",""
"1788937524-3","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Mountain Splitter","Ascendancy: Titan","","","","","3","Every Third Slam skill that doesn't create Fissures which you use yourself causes 3 additional Aftershocks ahead and to each side of the initial area","","","","","Slam","Titan","","Warrior","","","","","","Character: Warrior","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/Titan/TitanMountainSplitter.webp",""
"1788937524-4","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Crushing Impacts","Ascendancy: Titan","","","","","","Your Hits are Crushing Blows","25","25% more Damage against Heavy Stunned Enemies","","","","Titan","","Warrior","","","","","","Character: Warrior","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/Titan/TitanYourHitsCrushEnemies.webp",""
"1788937524-5","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Hulking Form","Ascendancy: Titan","","","","","50","50% increased effect of Small Passive Skills","","","","","","Titan","","Warrior","","","","","","Character: Warrior","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/Titan/TitanSmallPassiveDoubled.webp",""
"1788937524-6","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Colossal Capacity","Ascendancy: Titan","","","","","","Carry a Chest which adds 20 Inventory Slots","","","","","","Titan","","Warrior","","","","","","Character: Warrior","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/Titan/TitanAdditionalInventory.webp",""
"1788937524-7","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Mysterious Lineage","Ascendancy: Titan","","","","","15","15% more Maximum Life","","","","","","Titan","","Warrior","","","","","","Character: Warrior","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/Titan/TitanMoreMaxLife.webp",""
"1788937524-8","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Stone Skin","Ascendancy: Titan","","","","","50","50% more Armour from Equipped Body Armour","","","","","","Titan","","Warrior","","Armour","","","","Character: Warrior","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/Titan/TitanMoreBodyArmour.webp",""
"1788937524-9","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Anvil's Weight","Ascendancy: Warbringer","","","","","10","Break Armour equal to 10% of Hit Damage dealt","","","","","","","Warbringer","Warrior","","","","","","Character: Warrior","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/Warbringer/WarbringerBreakEnemyArmour.webp",""
"1788937524-10","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Imploding Impacts","Ascendancy: Warbringer","","","","","","Fully Broken Armour you inflict increases all Damage Taken from Hits instead","","You can Break Enemy Armour to below 0","","","","","Warbringer","Warrior","","","","","","Character: Warrior","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/Warbringer/WarbringerEnemyArmourBrokenBelowZero.webp",""
