web_scraper_order,web_scraper_start_url,name,name2,name3,name4,name5,name6,name7,name8,name9,name10,name11,name12,name13,name14,name15,name16,name17,name18,name19,name20,name21,name22,name23,name24,name25,name26,name27,name28,name29,name30,name31,image
1788936683-1,https://poe2db.tw/us/Gem#SupportGems,Amanamu's Tithe,"Amanamu's Tithe (1)Support, Lineage, Minion, Persistent","Support, Lineage, Minion, Persistent",Support,,,,,,,,,,,,,Lineage,Minion,,,,,,,,,,Persistent,,,,https://cdn.poe2db.tw/image/Art/2DItems/Gems/New/NewSupport/Lineage/LineageAmanamu.webp
1788936683-2,https://poe2db.tw/us/Gem#SupportGems,Atalui's Bloodletting,"Atalui's Bloodletting (1)Support, Lineage, Physical","Support, Lineage, Physical",Support,,,,,,,,,,,,Physical,Lineage,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DItems/Gems/New/NewSupport/Lineage/LineageLifetap.webp
1788936683-3,https://poe2db.tw/us/Gem#SupportGems,Auto Reload,"Auto Reload (1)Support, Ammunition, Projectile","Support, Ammunition, Projectile",Support,Ammunition,,,,,,,,Projectile,,,,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/AutoReloadSupport.webp
1788936683-4,https://poe2db.tw/us/Gem#SupportGems,Bloodlust,"Bloodlust (1)Support, Attack, Melee, Physical","Support, Attack, Melee, Physical",Support,,,,,,,,,,,,Physical,,,Melee,,Attack,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/BloodlustSupport.webp
1788936683-5,https://poe2db.tw/us/Gem#SupportGems,Brutus' Brain,"Brutus' Brain (1)Support, Lineage, Minion","Support, Lineage, Minion",Support,,,,,,,,,,,,,Lineage,Minion,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DItems/Gems/New/NewSupport/Lineage/LineageMeatshield.webp
1788936683-6,https://poe2db.tw/us/Gem#SupportGems,Cirel's Cultivation,"Cirel's Cultivation (1)Support, Lineage, Totem","Support, Lineage, Totem",Support,,,,,,Totem,,,,,,,Lineage,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DItems/Gems/New/NewSupport/Lineage/Greatwood.webp
1788936683-7,https://poe2db.tw/us/Gem#SupportGems,Paquate's Pact,"Paquate's Pact (1)Support, Lineage, Warcry, Trigger, Physical, Duration","Support, Lineage, Warcry, Trigger, Physical, Duration",Support,,,,,,,Warcry,,,,,Physical,Lineage,,,,,,,Trigger,,Duration,,,,,,https://cdn.poe2db.tw/image/Art/2DItems/Gems/New/NewSupport/Lineage/Paquate.webp
1788936683-8,https://poe2db.tw/us/Gem#SupportGems,Daresso's Passion,"Daresso's Passion (1)Support, Banner, Lineage","Support, Banner, Lineage",Support,,,,,,,,,,,,,Lineage,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DItems/Gems/New/NewSupport/Lineage/LineageDaresso.webp
1788936683-9,https://poe2db.tw/us/Gem#SupportGems,Dauntless,"Dauntless (1)Support, Conditional","Support, Conditional",Support,,,,Conditional,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/UnmovingSupport.webp
1788936683-10,https://poe2db.tw/us/Gem#SupportGems,Einhar's Beastrite,"Einhar's Beastrite (1)Support, Lineage, Attack, Melee, Strike","Support, Lineage, Attack, Melee, Strike",Support,,,,,,,,,,,Strike,,Lineage,,Melee,,Attack,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DItems/Gems/New/NewSupport/Lineage/LineageEinhar.webp
1788936683-11,https://poe2db.tw/us/Gem#SupportGems,Flamepierce,"Flamepierce (1)Support, Projectile, Fire","Support, Projectile, Fire",Support,,,,,,,,,Projectile,Fire,,,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/FlamepierceSupport.webp
1788936683-12,https://poe2db.tw/us/Gem#SupportGems,Tawhoa's Tending,"Tawhoa's Tending (1)Support, Lineage, Totem, AoE, Trigger, Physical","Support, Lineage, Totem, AoE, Trigger, Physical",Support,,,,,,Totem,,,,,,Physical,Lineage,,,,,,,Trigger,AoE,,,,,,,https://cdn.poe2db.tw/image/Art/2DItems/Gems/New/NewSupport/Lineage/Tukohama.webp
1788936683-13,https://poe2db.tw/us/Gem#SupportGems,Helbrym's Hide,"Helbrym's Hide (1)Support, Lineage, Shapeshift, Buff","Support, Lineage, Shapeshift, Buff",Support,,,,,,,,,,,,,Lineage,,,,,,,,,,,,Buff,,,https://cdn.poe2db.tw/image/Art/2DItems/Gems/New/NewSupport/Lineage/HideofHelbrym.webp
1788936683-14,https://poe2db.tw/us/Gem#SupportGems,Infernal Legion III,"Infernal Legion III (1)Support, Minion, AoE, Fire","Support, Minion, AoE, Fire",Support,,,,,,,,,,Fire,,,,Minion,,,,,,,AoE,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/InfernalLegionSupport.webp
