web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25
"1788937663-1","https://poe2db.tw/us/Keywords","Physical Damage","","","","Physical damage is one of the five Damage Types. It is the most common and the only one reduced by Armour, rather than by a Resistance. 



Most physical damage comes from Weapon Attacks, but some Spells and other skills deal physical damage as well. Physical damage over time can be inflicted with Bleeding.","","","Damage Types","","","Bleeding","","Armour","","","","","","","Spells","","","","",""
"1788937663-2","https://poe2db.tw/us/Keywords","Fire Damage","","","","Fire damage is one of the five Damage Types. It is reduced by Fire Resistance. Fire Hits inflict Flammability based on how much Fire damage is dealt, which provides a chance to Ignite.","","","Damage Types","","","","","","","","","","","","","","","","",""
"1788937663-3","https://poe2db.tw/us/Keywords","Cold Damage","","","","Cold damage is one of the five Damage Types. It is reduced by Cold Resistance. Cold hits apply Chill and build up Freeze, but cannot build up Heavy Stun.","","Chill","Damage Types","","","","","","","","","","","","","","","","",""
"1788937663-4","https://poe2db.tw/us/Keywords","Lightning Damage","","","","Lightning damage is one of the five Damage Types. It is reduced by Lightning Resistance. Lightning hits have a chance to Shock based on how much Lightning damage is dealt.","","","Damage Types","Shock","","","","","","","","","","","","","","","",""
"1788937663-5","https://poe2db.tw/us/Keywords","Chaos Damage","","","","Chaos damage is one of the five Damage Types. It is reduced by Chaos Resistance. 

Chaos damage is the least common damage type, and removes twice as much Energy Shield as the damage value when taken.","","","Damage Types","","","","","","","","","","Energy Shield","","","","","","",""
"1788937663-6","https://poe2db.tw/us/Keywords","Ailments","","","","Ailments are a family of common Debuffs associated with specific damage types. The list of Ailments is: Bleeding, Ignite, Chill, Freeze, Shock, Electrocute, and Poison.","","Chill","","Shock","","Bleeding","","","Debuffs","","","Poison","","","","","","","",""
"1788937663-7","https://poe2db.tw/us/Keywords","Attributes","","","","Strength, Dexterity, and Intelligence are the 3 primary attributes. The most important use of Attributes is to meet requirements to use Equipment and Gems.



Each Attribute provides a different inherent bonus.","","","","","","","","","","","","","","","","","","","",""
"1788937663-8","https://poe2db.tw/us/Keywords","Strength","","","","Strength is an Attribute required to equip most equipment that grants Armour, as well as various melee-aligned Weapons and Skills.



Strength provides an inherent bonus of +2 to maximum Life per 1 Strength.



Strength does not grant damage to Skills or any other benefits except where specifically stated.","Attribute","","","","","","","Armour","","","","","","","","","","","",""
"1788937663-9","https://poe2db.tw/us/Keywords","Dexterity","","","Evasion Rating","Dexterity is an Attribute required to use most equipment that grants Evasion Rating, as well as various range-aligned Weapons and Skills.



Dexterity provides an inherent bonus of +8 to Accuracy Rating per 1 Dexterity.



Dexterity does not grant damage to Skills or any other benefits except where specifically stated.","Attribute","","","","","","","","","","","","","Accuracy Rating","","","","","",""
"1788937663-10","https://poe2db.tw/us/Keywords","Intelligence","","","","Intelligence is an Attribute required to use most equipment that grants Energy Shield, as well as various spell-aligned Weapons and Skills.



Intelligence provides an inherent bonus of +2 to maximum Mana per 1 Intelligence



Intelligence does not grant damage to Skills or any other benefits except where specifically stated.","Attribute","","","","","","","","","","","","Energy Shield","","","","","","",""
"1788937663-11","https://poe2db.tw/us/Keywords","Bleeding","","Contribute","","Bleeding is an Ailment that deals Physical damage over time, and lasts 5 seconds by default. Damage from Bleeding bypasses Energy Shield



Bleeding deals an extra 100% damage while the target is moving, or if the Bleeding is Aggravated.



Physical damage from Hits Contributes to Bleeding Magnitude.



Damage does not Contribute to Bleeding chance, so it cannot be inflicted without an explicit source of Bleeding chance.



The base Magnitude of Bleeding is Physical damage per second equal to 15% of the Pre-mitigation Physical damage of the Hit that inflicted it. This magnitude is not further affected by any modifiers to the damage you deal. 



Modifiers and Debuffs that affect the enemy's ability to mitigate damage (such as Shock) can affect the damage the enemy takes from Bleeding, but any such modifiers that specifically apply to Hit damage (such as Armour Break) do not affect Bleeding damage.","","","","Shock","","","Physical","","Debuffs","Armour Break","","","Energy Shield","","","","","","",""
"1788937663-12","https://poe2db.tw/us/Keywords","Blind","","","Evasion","Being Blinded causes 20% less Accuracy Rating and Evasion Rating, and lasts for 4 seconds unless otherwise specified.","","","","","","","","","","","","","","Accuracy","","","","","",""
"1788937663-13","https://poe2db.tw/us/Keywords","Chill","","","","Chill is an Ailment that Slows the afflicted target, and lasts 2 seconds on players or 8 seconds on non-players by default. Chill Magnitude depends on the Chilling damage dealt relative to the target's Elemental Ailment Threshold, with a minimum of 30% and a default maximum of 50%.



Cold damage from Hits can Chill by default, and does not require a chance to inflict Chill. However, Chills smaller than 30% will be ignored, so small Hits can fail to Chill.","","","","","Elemental Ailment Threshold","","","","","","Slows","","","","","","","","",""
"1788937663-14","https://poe2db.tw/us/Keywords","Chilled Ground","","","","Chilled Ground Chills those standing in it, and lasts 6 seconds by default.","","Chills","","","","","","","","","","","","","","","","","",""
"1788937663-15","https://poe2db.tw/us/Keywords","Consecrated Ground","","","","You and Allies standing on your Consecrated Ground Regenerate 5% of their maximum Life per second, and Curses have 50% reduced effect on them.","","","","","","","","","","","","","","","","","","","",""
"1788937663-16","https://poe2db.tw/us/Keywords","Culling Strike","","","","Culling Strikes kill Normal enemies if their life is at 35% or below. Magic enemies are instead killed at 20%, Rare at 10% and Unique at 5%. These thresholds are checked before the damage of the Hit is applied.","","","","","","","","","","","","","","","","","","","",""
"1788937663-17","https://poe2db.tw/us/Keywords","Decimating Strike","","","","Hits against Full Life Enemies remove between 5% and 30% of Life, before the damage of the Hit is applied.","","","","","","","","","","","","","","","","","","","",""
"1788937663-18","https://poe2db.tw/us/Keywords","Damage Types","","","","The damage types are Physical, Fire, Cold, Lightning and Chaos.","","","","","","","","","","","","","","","","","","","",""
"1788937663-19","https://poe2db.tw/us/Keywords","Damaging Ailments","","","","Ailments that deal damage are Bleeding, Ignite, and Poison.","","","","","","Bleeding","","","","","","Poison","","","","","","","",""
"1788937663-20","https://poe2db.tw/us/Keywords","Desecrated Ground","","","","You take Chaos damage over time while standing in Desecrated Ground.","","","","","","","","","","","","","","","","","","","",""
"1788937663-21","https://poe2db.tw/us/Keywords","Elemental Ailments","","","","Elemental Ailments are Ignite, Chill, Freeze, Shock, and Electrocute.","","Chill","","Shock","","","","","","","","","","","","","","","",""
"1788937663-22","https://poe2db.tw/us/Keywords","Freeze","","","","Freeze is an Ailment that causes targets to be unable to move or act, and lasts 4 seconds by default.



Cold damage from Hits Contributes to Freeze Buildup on enemies until they become Frozen.","","","","","","","","","","","","","","","","","","","",""
"1788937663-23","https://poe2db.tw/us/Keywords","Hinder","","","","Hinder is a Debuff that Slows movement speed by 30% unless otherwise specified. Unless Specified, Hinder has a duration of 4 seconds.","","","","","","","","","Debuff","","Slows","","","","","","","","",""
"1788937663-24","https://poe2db.tw/us/Keywords","Ignite","Magnitude","Contributes","","Ignite is an Ailment that deals Fire damage over time, and lasts for 4 seconds by default.



The chance for a Hit to Ignite a target is determined by the total Magnitude of Flammability on the target, including the amount added by that Hit.



Fire damage from Hits Contributes to the Magnitude of Ignite, so Hits dealing more Fire damage inflict stronger Ignites.

The base Magnitude of Ignite is Fire damage per second equal to 20% of the Fire damage dealt by the Hit that inflicted it. This is calculated using the final damage dealt by the Hit, but not any modifiers on the target that affect how much damage they will take from the Hit. This Magnitude is not further affected by any modifiers to the damage you deal.



Modifiers and Debuffs that affect the enemy's ability to mitigate damage (such as Shock) can affect the damage the enemy takes from Ignite, but any such modifiers that specifically apply to Hit damage (such as Penetration) do not affect Ignite damage.","","","","Shock","","","Magnitude","","Debuffs","Hit","","","","","","","","","",""
"1788937663-25","https://poe2db.tw/us/Keywords","Flammability","Ignite","Magnitude","","Flammability is a Debuff that provides the chance for Hits to Ignite the target. It is not itself an Ailment, but is closely associated with Ignite, which is.



Fire damage from Hits Contributes to the Magnitude of Flammability, so Hits that deal more Fire damage will Ignite more often.



The base Magnitude of Flammability is 1% chance to Ignite the target for every 5% of the target's Ailment Threshold dealt as Fire damage. Flammability from a Hit is applied before that hit checks whether it should Ignite the target, and so will affect that chance for that Hit to Ignite.



Since chance for Hits to Ignite comes from Flammability on the target, modifiers which increase the chance to inflict Ailments will increase the Magnitude of Flammability inflicted.



Effects which do not Hit targets, but Ignite as if they had, such as Ignited Ground, also inflict Flammability, but do not roll a random chance to Ignite. Such effects will only Ignite once the total Flammability on the target reaches 50%.



Multiple instances of Flammability stack, raising the chance for Hits to Ignite the target up to 100%. Each instance of Flammability has its own independent duration, lasting 8 seconds by default.","","","","","Ailment Threshold","","Magnitude","","Debuff","Hit","","","","","","","","","",""
"1788937663-26","https://poe2db.tw/us/Keywords","Ignoring Resistances","","","","Ignoring Resistances means your damage cannot be modified in any way by the target's Resistance stats.","","","","","","","","","","","","","","","","","","","",""
"1788937663-27","https://poe2db.tw/us/Keywords","Knockback","","","","Knockback pushes Enemies away when Hit.","","","","","","","","","","","","","","","","","","","",""
"1788937663-28","https://poe2db.tw/us/Keywords","Life Leech","","","","When you deal damage with a Hit, Life Leech causes you to recover an amount of Life to a percentage of the damage dealt, over a period of one second.



Hits that deal more than 40,000 total damage are treated as though they only dealt 40,000 damage for this calculation. If this damage is of multiple Damage Types, the ratios between them will stay the same.



Monsters have Leech Resistance that increases with monster level, reducing how much you recover from Leech from Hits against them.



You can only recover from a single instance of Life Leech at a time, and all Life Leech is removed when Life is filled.","","","Damage Types","","","","","","","","","","","","","","","","",""
"1788937663-29","https://poe2db.tw/us/Keywords","Low Energy Shield","","","","You are on Low Energy Shield if you have 35% of your Maximum Energy Shield or less.","","","","","","","","","","","","","","","","","","","",""
"1788937663-30","https://poe2db.tw/us/Keywords","Low Life","","","","A player or monster is on Low Life if it has 35% of its Maximum Life or less.","","","","","","","","","","","","","","","","","","","",""
"1788937663-31","https://poe2db.tw/us/Keywords","Low Mana","","","","You are on Low Mana if you have 35% of your Maximum Mana or less.","","","","","","","","","","","","","","","","","","","",""
"1788937663-32","https://poe2db.tw/us/Keywords","Lucky","","","","Lucky things are rolled twice and the better result used.","","","","","","","","","","","","","","","","","","","",""
"1788937663-33","https://poe2db.tw/us/Keywords","Maim","","","Evasion Rating","Maimed enemies suffer from 30% Slower Movement Speed and 15% reduced Evasion Rating. Maim lasts for 4 seconds unless otherwise specified.","","","","","","","","","","","Slower","","","","","","","","",""
"1788937663-34","https://poe2db.tw/us/Keywords","Mana Leech","","","","When you deal damage with a Hit, Mana Leech causes you to recover an amount of Mana to a percentage of the damage dealt, over a period of one second.



Hits that deal more than 40,000 total damage are treated as though they only dealt 40,000 damage for this calculation. If this damage is of multiple Damage Types, the ratios between them will stay the same.



Monsters have Leech Resistance that increases with monster level, reducing how much you recover from Leech from Hits against them.



You can only recover from a single instance of Mana Leech at a time, and all Mana Leech is removed when Mana is filled.","","","Damage Types","","","","","","","","","","","","","","","","",""
"1788937663-35","https://poe2db.tw/us/Keywords","Rage Leech","","","","When you deal damage with a Hit, Rage Leech causes you to recover an amount of Rage to a percentage of the damage dealt, over a period of one second.



Hits that deal more than 40,000 total damage are treated as though they only dealt 40,000 damage for this calculation. If this damage is of multiple Damage Types, the ratios between them will stay the same.



Monsters have Leech Resistance that increases with monster level, reducing how much you recover from Leech from Hits against them.



You can only recover from a single instance of Rage Leech at a time, and all Rage Leech is removed when Rage is filled.","","","Damage Types","","","","","","","","","","","","","","","","",""
"1788937663-36","https://poe2db.tw/us/Keywords","Map Owner","","","","The Map Owner is the player who created the Map area.","","","","","","","","","","","","","","","","","","","",""
"1788937663-37","https://poe2db.tw/us/Keywords","Non-Damaging Ailments","","","","Ailments that do not deal damage are Chill, Freeze, Shock, and Electrocute.","","Chill","","Shock","","","","","","","","","","","","","","","",""
"1788937663-38","https://poe2db.tw/us/Keywords","Overkill","","","","Overkill damage is any damage from a Hit in excess of the enemy's remaining Life when it is killed.","","","","","","","","","","","","","","","","","","","",""
"1788937663-39","https://poe2db.tw/us/Keywords","Poison","Penetration","Contribute","","Poison is an Ailment that deals Chaos damage over time, and lasts 2 seconds by default. Damage from Poison bypasses Energy Shield.



Physical and Chaos damage from Hits Contribute to Poison Magnitude.



Damage does not Contribute to Poison chance, so it cannot be inflicted without an explicit source of Poison chance.



The base Magnitude of Poison is Chaos damage per second equal to 20% of the Pre-mitigation Physical and Chaos damage of the Hit that inflicted it. This magnitude is not further affected by any modifiers to the damage you deal.



Modifiers and Debuffs that affect the enemy's ability to mitigate damage (such as Shock) can affect the damage the enemy takes from Poison, but any such modifiers that specifically apply to Hit damage (such as Penetration) do not affect Poison damage.","","","","Shock","","","Physical","","Debuffs","Hit","","","Energy Shield","","","","","","",""
"1788937663-40","https://poe2db.tw/us/Keywords","Rage","","","","Rage grants 1% more Attack damage per 1 Rage. By default, you have 30 maximum Rage and lose 1 Rage every 0.2 seconds. Rage loss is paused for 4 seconds upon gaining Rage, or after taking damage.



Only one Hit every 0.5 seconds can cause you to gain Rage.","","","","","","","","","","","","","","","","","","","",""
"1788937663-41","https://poe2db.tw/us/Keywords","Recently","","","","Recently refers to the past 4 seconds.","","","","","","","","","","","","","","","","","","","",""
"1788937663-42","https://poe2db.tw/us/Keywords","Shapeshifting","","","","Shapeshifting changes you into a non-human form. Shapeshifting skills still use your character's stats as normal unless otherwise specified.



Using a skill that is not compatible with your Shapeshifted form will automatically Shapeshift you back to human form.","","","","","","","","","","","","","","","","","","","",""
"1788937663-43","https://poe2db.tw/us/Keywords","Shock","","","","Shock is an Ailment that causes targets to take 20% increased damage, and lasts 4 seconds on players or 8 seconds on non-players by default.



Lightning damage from Hits Contributes to chance to Shock enemies. The higher the Lightning damage dealt, the higher the chance. By default a Hit has 1% chance to Shock for every 4% of the target's Ailment Threshold dealt.","","","","","Ailment Threshold","","","","","","","","","","","","","","",""
"1788937663-44","https://poe2db.tw/us/Keywords","Smoke Clouds","","","","Enemies standing in Smoke Clouds are Blinded.

Smoke Clouds have a radius of 2 metres unless otherwise specified.","","","","","","","","","","","","","","","","","","","",""
"1788937663-45","https://poe2db.tw/us/Keywords","Player Stun Threshold","","","","Your base Stun Threshold is equal to your maximum Life. A Hit that deals damage equal to or greater than your Stun Threshold is guaranteed to Stun you, and the chance scales down linearly for lower damage Hits. A Stun chance of less than 10% is treated as 0%.","","","","","","","","","","","","","","","","","","","",""
"1788937663-46","https://poe2db.tw/us/Keywords","Enemy Stun Threshold","","","","The lower an enemy's Stun Threshold, the less Stun buildup is needed to Stun or Heavy Stun them.","","","","","","","","","","","","","","","","","","","",""
"1788937663-47","https://poe2db.tw/us/Keywords","Freeze Threshold","","","","Freeze Threshold determines how much Freeze buildup is needed to Freeze a target.","","","","","","","","","","","","","","","","","","","",""
"1788937663-48","https://poe2db.tw/us/Keywords","Electrocute Threshold","","","","Electrocute Threshold determines how much Electrocute buildup is needed to Electrocute a target.","","","","","","","","","","","","","","","","","","","",""
"1788937663-49","https://poe2db.tw/us/Keywords","Unaffected","","","","Debuffs you are Unaffected by can still be placed on you, but will not actually apply their effect.","","","","","","","","","Debuffs","","","","","","","","","","",""
"1788937663-50","https://poe2db.tw/us/Keywords","Uncapped Resistance","","","","Uncapped Resistance is the value a Resistance would have if ignoring Maximum Resistance. These values are shown in parentheses at the top of the Character Panel.","","","","","","","","","","","","","","","","","","","",""
"1788937663-51","https://poe2db.tw/us/Keywords","Overcapped Resistance","","","","Overcapped Resistance is the amount by which your Uncapped Resistance exceeds your Maximum Resistance for that damage type.","","","","","","","","","","","","","","","","","","","",""
"1788937663-52","https://poe2db.tw/us/Keywords","Unlucky","","","","Unlucky things are rolled twice and the worse result used.","","","","","","","","","","","","","","","","","","","",""
"1788937663-53","https://poe2db.tw/us/Keywords","Immobilised","","","","A target is immobilised if it cannot move, for example due to being Frozen, Pinned, Heavy Stunned, or Electrocuted.","","","","","","","","","","","","","","","","","","","",""
