web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,image
"1788936811-1","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","Firebolt","","FireboltSpell, AoE, Projectile, Fire, RepeatableLaunch a fiery Projectile towards a target. The Projectile explodes on impact, damaging foes in a small area.","","","Spell, AoE, Projectile, Fire, Repeatable","","","","","","","","","","","","Repeatable","","","","","","","","","","","","","","","","","","","","Fire","","","AoE","","","Projectile","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/FireballSkillStaff.webp"
"1788936811-2","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Attack","","","","Molten CrashAttack, Shapeshift, Bear, AoE, Melee, Slam, TravelShapeshift into a burning monstrosity and leap through the air to crash down upon the earth, Slamming twice and creating Molten Fissures. Consumes Rage to create additional Molten Fissures.","Molten Crash","","Attack, Shapeshift, Bear, AoE, Melee, Slam, Travel","","","","","","","","","","","","","","","","Consumes","","","","","","","","","","","Travel","","","","","","","","AoE","","","","","Melee","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/VesselofWrath.webp"
"1788936811-3","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","Volatile Dead","","Volatile DeadSpell, AoE, Fire, RepeatableConsume a Corpse to create a volatile core that seeks out enemies and Ignites enemies near it. The core explodes at the end of its duration.","","","Spell, AoE, Fire, Repeatable","","","","","","","","","","","","Repeatable","","","","","","","","","","","","","","","","","","","Corpse","Fire","","","AoE","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/VolatileDeadWeaponSkill.webp"
"1788936811-4","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","Spark","","SparkSpell, Projectile, Lightning, Duration, RepeatableLaunch a spray of sparking Projectiles that travel erratically along the ground until they hit an enemy or expire. Consumes a Cold Infusion if possible to fire many sparks in a circle.","","","Spell, Projectile, Lightning, Duration, Repeatable","","","","","","","Infusion","","","","Lightning","Repeatable","","","","Consumes","","","Cold","","","","","","","Duration","","","","","","","","","","","","Projectile","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/SorceressSpark.webp"
"1788936811-5","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","Spark","","SparkSpell, Projectile, Trigger, Lightning, Cold, Duration, RepeatableLaunch a spray of sparking Projectiles that travel erratically along the ground until they hit an enemy or expire. Consumes a Cold Infusion if possible to fire many sparks in a circle.","","","Spell, Projectile, Trigger, Lightning, Cold, Duration, Repeatable","","","","","","","Infusion","","","","Lightning","Repeatable","","","","Consumes","","","Cold","","","","Cold","","","Duration","","","","","","","Trigger","","","","","Projectile","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/SorceressSpark.webp"
"1788936811-6","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","Enervating Nova","","Enervating NovaSpell, AoE, Lightning, Duration, Nova, RepeatableUnleash a Nova of Lightning damage to Electrocute enemies. Enemies close to you take no damage while enemies at the edge of the ring take significantly more damage. Enemies Hit can be Electrocuted by all Lightning damage for a short duration.","","","Spell, AoE, Lightning, Duration, Nova, Repeatable","","","Nova","","","","","","","","Lightning","Repeatable","","","","","","","","","","","","","","Duration","","","","","","","","","AoE","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/EnervatingNovaWeaponSkill.webp"
"1788936811-7","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","Power Siphon","","Power SiphonSpell, PhysicalAttempt to rip the lifeforce from an enemy. Enemies within Culling range will be highlighted and instantly killed on Hit, granting a Power Charge. Can only target Enemies in Culling range.","","","Spell, Physical","","","","","","","","","","","","","","","","","","Physical","","Power Charge","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/PowerSiphonWeaponSkill.webp"
"1788936811-8","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Buff","","Discipline","","DisciplineBuff, Persistent, AuraEmit an Aura that grants you and Allies in your Presence additional Total Energy Shield.","","","Buff, Persistent, Aura","","","","Presence","","","","","","","","","","","","","","","","","Persistent","Allies","","","","","","Energy Shield","Aura","Aura","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/DisciplineWeaponSkill.webp"
"1788936811-9","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","","","Valako's ChargeSpell, AoE, Trigger, Lightning, ChainingWhile active, taking Lightning damage builds up charge on you. Reaching full charge expends all charge to Trigger this skill, creating a Chaining lightning bolt that arcs to nearby enemies.","Valako's Charge","","Spell, AoE, Trigger, Lightning, Chaining","","","","","","","","","","","Lightning","","","Chaining","","","Chaining","","","","","","","","","","","","","","","","Trigger","","AoE","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/ValakosLuckLightningCoilSkill.webp"
"1788936811-10","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Buff","","Arctic Armour","","Arctic ArmourBuff, Spell, Persistent, Sustained, Cold, StagedWhile active, conjures an icy barrier that gains stages over time. While the barrier has stages, Melee Attacks that hit you will remove a stage to cause a burst of ice that deals Cold Spell damage to the attacker.","","","Buff, Spell, Persistent, Sustained, Cold, Staged","","","","","","Sustained","","Staged","","","","","","","","","","","Cold","","Persistent","","Cold","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/SorceressArcticArmour.webp"
"1788936811-11","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Buff","Fire Resistance","Purity of Fire","","Purity of FireBuff, Persistent, Aura, FireEmit an Aura that boosts the Fire Resistance of you and Allies in your Presence.","","","Buff, Persistent, Aura, Fire","","","","Presence","","","","","","","","","","","","","","","","","Persistent","Allies","","","","","","","Aura","Aura","","Fire","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/PurityofFireWeaponSkill.webp"
"1788936811-12","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Buff","Cold Resistance","Purity of Ice","","Purity of IceBuff, Persistent, Aura, ColdEmit an Aura that boosts the Cold Resistance of you and Allies in your Presence.","","","Buff, Persistent, Aura, Cold","","","","Presence","","","","","","","","","","","","","","","","","Persistent","Allies","Cold","","","","","","Aura","Aura","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/PurityofColdWeaponSkill.webp"
"1788936811-13","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Buff","Lightning Resistance","Purity of Lightning","","Purity of LightningBuff, Persistent, Aura, LightningEmit an Aura that boosts the Lightning Resistance of you and Allies in your Presence.","","","Buff, Persistent, Aura, Lightning","","","","Presence","","","","","","","Lightning","","","","","","","","","","Persistent","Allies","","","","","","","Aura","Aura","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/PurityofLightningWeaponSkill.webp"
"1788936811-14","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Buff","Chaos Resistance","Impurity","","ImpurityBuff, Persistent, Aura, ChaosEmit an Aura that boosts the Chaos Resistance of you and Allies in your Presence.","","","Buff, Persistent, Aura, Chaos","","","","Presence","","","","","","","","","Chaos","","","","","","","","Persistent","Allies","","","","","","","Aura","Aura","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/PurityofChaosWeaponSkill.webp"
"1788936811-15","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Buff","","","","Herald of AshBuff, Persistent, AoE, Fire, Duration, HeraldWhile active, enemies you sufficiently Overkill with non-Herald Attacks will cause an explosion that Ignites nearby enemies based on the Overkill damage dealt.","","","Buff, Persistent, AoE, Fire, Duration, Herald","Herald","Herald","","","","","","","","","","","","","Herald of Ash","","","","","","Persistent","","","","","Duration","","","","","","Fire","","","AoE","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/HeraldOfAshSkill.webp"
"1788936811-16","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Buff","","","","Herald of IceBuff, Attack, Persistent, AoE, Cold, Herald, PayoffWhile active, Shattering an enemy with a non-Herald Attack Hit will cause an icy explosion that deals Attack damage to surrounding enemies.","Herald of Ice","","Buff, Attack, Persistent, AoE, Cold, Herald, Payoff","Herald","Herald","","","","","","","","","","","","","","","","","","","Persistent","","Cold","","","","","","","","","","","","AoE","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/HeraldOfIceSkill.webp"
"1788936811-17","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Buff","","","Herald of Thunder","Herald of ThunderBuff, Attack, Persistent, AoE, Lightning, Herald, PayoffWhile active, killing Shocked enemies with a non-Herald Attack Hit will cause subsequent Attack Hits to release lightning bolts which dealAttack damage to all surrounding enemies.","","","Buff, Attack, Persistent, AoE, Lightning, Herald, Payoff","Herald","Herald","","","","","","","","","Lightning","","","","","","","","","","Persistent","","","","","","","","","","","","","","AoE","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/HeraldOfThunderSkill.webp"
"1788936811-18","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","Wither","","WitherSpell, AoE, Chaos, Duration, ChannellingChannel a debilitating hex that Withers enemies in the area.","","","Spell, AoE, Chaos, Duration, Channelling","","","","","","","","","","","","","Chaos","","","","","","","","","","","","","Duration","","","","","","","","Channelling","AoE","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Wither.webp"
"1788936811-19","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","Dark Pact","","Dark PactSpell, Minion, AoE, Chaos, Nova, RepeatableSacrifice the life of a Minion to deal Chaos damage in an area around it. If you have no Minions, your own life is sacrificed instead.","","","Spell, Minion, AoE, Chaos, Nova, Repeatable","","","Nova","","","","","","Chaos","","","Repeatable","Chaos","","","","","","","","","","","","","","","","","","","","","","AoE","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/DeathPactSkill.webp"
"1788936811-20","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","Abyssal Pact","","Abyssal PactSpell, Minion, AoE, Physical, RepeatableSacrifice some of a damageable Minion's life to deal Physical damage in an area around it.","","","Spell, Minion, AoE, Physical, Repeatable","","","","","","","","","","","","Repeatable","","","","","","Physical","","","","","","","","","","","","","","","","","AoE","Physical","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/AbyssDeathPactSkill.webp"
"1788936811-21","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Minion","","Skeletal Warrior","","Skeletal WarriorMinion, Persistent, PhysicalActivate to summon Reviving Skeletal Warriors.","","","Minion, Persistent, Physical","","","","","","","","","","","","","","","","","","Physical","","","Persistent","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/WitchWarriorSkeleton.webp"
"1788936811-22","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Minion","","","","Azmerian WolfMinion, Companion, Persistent, PhysicalSummons an ancient Reviving Azmerian Wolf that can howl, calling to spirits convening an Eternal Hunt on Command. It Maims when attacking foes, and can lunge to bite and inflict Bleeding, or howl to inspire nearby allies.","Azmerian Wolf","","Minion, Companion, Persistent, Physical","","","","","Command","","","","","Companion","","","","","","","","Physical","","","Persistent","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/ThePackLeaderBaseMinionSkill.webp"
"1788936811-23","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Minion","","","","Mist RavenMinion, Companion, Persistent, Physical, ChaosSummons a mysterious undamageable Mist Raven that can be Commanded to dive at target location, crashing through an otherworldly mirror and damaging enemies in an area. The raven grants you a Frenzy Charge for each enemy it Culls.","Mist Raven","","Minion, Companion, Persistent, Physical, Chaos","","","","","Commanded","","","","","Companion","","","Chaos","","","","","Physical","","Frenzy Charge","Persistent","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/MistRavenSummon.webp"
"1788936811-24","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Minion","","Spiraling Conspiracy","","Spiraling ConspiracyMinion, Persistent, AoE, Physical, Chaos, DurationA flock of mist ravens circle you, dealing damage over time in an area. Their numbers are bolstered by slain foes, or in the Presence of dangerous enemies, but the flock as a whole is considered a single minion. You can Command some of them to take flight, leaving the flock to assail your enemies.","","","Minion, Persistent, AoE, Physical, Chaos, Duration","","","","Presence","Command","","","","","","","","Chaos","","","","","Physical","","","Persistent","","","","","Duration","","","","","","","","","AoE","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/RoostOfTheRavenKingSwarm.webp"
"1788936811-25","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","Soulrend","","SoulrendSpell, Projectile, Chaos, Duration, RepeatableFire a Piercing Projectile that seeks out enemies. Enemies hit are inflicted with a Debuff that Hinders them and deals Chaos damage over time for a short duration.","","","Spell, Projectile, Chaos, Duration, Repeatable","","","","","","","","","Chaos","","","Repeatable","Chaos","","","","","","","","","","","","Hinders","Duration","","","","","","","","","","","","Projectile","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Soulrend.webp"
"1788936811-26","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Buff","","","Plague Bearer","Plague BearerBuff, Persistent, AoE, Physical, Chaos, NovaWhile active, stores a portion of the Poison Damage you deal. Using this Skill unleashes the stored Poison to damage and Poison enemies around you.","","","Buff, Persistent, AoE, Physical, Chaos, Nova","","","Nova","","","","","","","","","","Chaos","","","","","Physical","","","Persistent","","","","","","","","","","","","","","AoE","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/RangerPlagueBearerSkill.webp"
"1788936811-27","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","Sigil of Power","","Sigil of PowerSpell, AoE, Duration, StagedPlace a Sigil on the ground, providing a powerful Spell Damage Buff to you and Allies while standing in it. The Buff becomes more powerful the more mana you spend while standing in the Sigil.","","","Spell, AoE, Duration, Staged","","","","","","","","Staged","","","","","","","","","","","","","","Allies","","","","Duration","","","","","","","","","AoE","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/SigilofPowerWeaponSkill.webp"
"1788936811-28","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","","","Rite of RestorationSpell, AoE, Duration, StagedPlace a Sigil on the ground, providing a powerful Buff to you and Allies standing in it which grants Life Regeneration and amplifies Armour, Evasion and Energy Shield. The Buff becomes more powerful the more mana you spend while standing in the Sigil.","Rite of Restoration","","Spell, AoE, Duration, Staged","","","","","","","","Staged","","","","","","","","","","","","","","Allies","","","","Duration","","Energy Shield","","","","","","","AoE","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/HuskofDreamsSkill.webp"
"1788936811-29","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","Exsanguinate","","ExsanguinateSpell, Physical, Duration, Chaining, RepeatableExpel your own blood as Chaining blood tendrils in a cone in front of you. Enemies Hit by the tendrils take Physical damage and are inflicted with Bleeding.","","","Spell, Physical, Duration, Chaining, Repeatable","","","","","","","","","","","","Repeatable","","Chaining","","","Chaining","Physical","","","","","","","","Duration","","","","","","","","","","Physical","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/BloodTendrilsSkill.webp"
"1788936811-30","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","Reap","","ReapSpell, AoE, Physical, DurationConjure a bloody scythe that sweeps across the targeted area, dealing Physical damage to enemies and applying Critical Weakness. Cannot be Triggered.","","","Spell, AoE, Physical, Duration","","","","","","","","","","","","","","","","","","Physical","","","","","","","","Duration","","","","","","","","","AoE","Physical","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/ReapWeaponSkill.webp"
"1788936811-31","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Buff","","Galvanic Field","","Galvanic FieldBuff, Spell, AoE, Sustained, Lightning, Duration, Chaining, OrbGain a Buff that boosts your Shock chance. Shocking an enemy consumes the Buff to attach an Orb of electricity to that enemy. The Orb fires bolts of electricity at nearby enemies until it expires.","","","Buff, Spell, AoE, Sustained, Lightning, Duration, Chaining, Orb","","","","","","Sustained","","","","","Lightning","","","Chaining","","","","","","","","","","","","Duration","","","","","","","","","AoE","","","","Orb","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/GalvanicFieldWeaponSkill.webp"
"1788936811-32","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","[DNT] Crushing Earth","","[DNT] Crushing EarthSpell, AoE, Physical, Duration, Repeatable[DNT] Convene the surrounding earth into an immense boulder to crash down, dealing high damage at the targeted location after a short delay.","","","Spell, AoE, Physical, Duration, Repeatable","","","","","","","","","","","","Repeatable","","","","","","Physical","","","","","","","","Duration","","","","","","","","","AoE","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/AbsolutionBlast.webp"
"1788936811-33","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","","","ConsecrateSpell, AoE, Duration, NovaCreate an area of Consecrated Ground around you.","Consecrate","","Spell, AoE, Duration, Nova","","","Nova","","","","","","","","","","","","","","","","","","","","","","","Duration","","","","","","","","","AoE","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/BuffIcons/consecrated.webp"
"1788936811-34","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Attack","","","","Crushing FearAttack, AoE, Melee, Strike, Physical, ChaosDash to an enemy and Strike them, Culling enemies if their life is low enough. When this skill kills an enemy you draw out their final fears, crushing them to create a shockwave. Enemies around you that can be Culled will be highlighted.","Crushing Fear","","Attack, AoE, Melee, Strike, Physical, Chaos","","","","","","","","","","","","","Chaos","","","","","Physical","","","","","","","","","","","","","","","","","AoE","","","","","Melee","Strike","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/ChokingMistsSkillIcon.webp"
"1788936811-35","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Minion","","","","Wolf PackMinion, Companion, Persistent, PhysicalActivate to summon a pack of Wolf Companions. The pack treated as a single Companion for effects that count or limit Companions, regardless of the number of Wolves in the pack.","Wolf Pack","","Minion, Companion, Persistent, Physical","","","","","","","","","","Companion","","","","","","","","Physical","","","Persistent","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/DruidSummonWolf.webp"
"1788936811-36","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Minion","","","","Cackling CompanionsMinion, Companion, Persistent, PhysicalActivate to summon a cackle of Hyena Companions. The cackle is treated as a single Companion for effects that count or limit Companions, regardless of the number of Hyenas in the cackle. Hyenas whoop when they first appear, Hindering nearby enemies, and have a chance to Maim enemies they Hit.","Cackling Companions","","Minion, Companion, Persistent, Physical","","","","","","","","","","Companion","","","","","","","","Physical","","","Persistent","","","","Hindering","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/HandoftheClanSkill.webp"
"1788936811-37","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","Lightning Bolt","","Lightning BoltSpell, AoE, Lightning, RepeatableCall down a Shocking bolt of Lightning to strike enemies in a small area.","","","Spell, AoE, Lightning, Repeatable","","","","","","","","","","","Lightning","Repeatable","","","","","","","","","","","","","","","","","","","","","","","AoE","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/LightningBoltSkillStaff.webp"
"1788936811-38","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","Unleash","","UnleashSpell, Buff, DurationAugment yourself with temporal magic for a short duration, Empowering the next Repeatable Spell you cast to Repeat multiple times. Cannot Empower Skills with a Cooldown.","","","Spell, Buff, Duration","","","","","","","","","","","","","","","","","","","","","","","","","","Duration","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/SorceressTemporalistUnleash.webp"
"1788936811-39","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Buff","","Cast on Elemental Ailment","","Cast on Elemental AilmentBuff, Persistent, Trigger, Lightning, Cold, Fire, MetaWhile active, gains Energy when you Freeze, Shock, or Ignite enemies, and triggers socketed spells on reaching maximum Energy.","","","Buff, Persistent, Trigger, Lightning, Cold, Fire, Meta","","","","","","","","","","","Lightning","","","","","","","","","","Persistent","","Cold","Meta","","","","","","","","Fire","Trigger","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/CastonFreezeShockIgnite.webp"
