web_scraper_order,web_scraper_start_url,name,name2,name3,name4,name5,name6,name7,name8,name9,name10,name11,name12,name13,name14,name15,name16,name17,image
"1788936727-1","https://poe2db.tw/us/Gem#MetaSkillGem","Ancestral Warrior Totem","Ancestral Warrior Totem (13)Totem, Attack, AoE, Melee, Duration, Conditional, Meta","Totem, Attack, AoE, Melee, Duration, Conditional, Meta","Meta","Attack","Totem","Melee","Duration","AoE","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/BruteAncestralWarriorTotem.webp"
"1788936727-2","https://poe2db.tw/us/Gem#MetaSkillGem","Mirage Archer","Mirage Archer (8)Buff, Persistent, Trigger, Duration, Meta","Buff, Persistent, Trigger, Duration, Meta","Meta","","","","Duration","","Buff","Persistent","","Trigger","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/LingeringMirageSkill.webp"
"1788936727-3","https://poe2db.tw/us/Gem#MetaSkillGem","Cast on Freeze","Cast on Freeze (1)Buff, Persistent, Trigger, Cold, Meta","Buff, Persistent, Trigger, Cold, Meta","Meta","","","","","","Buff","Persistent","","Trigger","","","Cold","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/CastOnFreezeSkill.webp"
"1788936727-4","https://poe2db.tw/us/Gem#MetaSkillGem","Cast on Ignite","Cast on Ignite (1)Buff, Persistent, Trigger, Fire, Meta","Buff, Persistent, Trigger, Fire, Meta","Meta","","","","","","Buff","Persistent","","Trigger","","Fire","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/CastOnIgniteSkill.webp"
"1788936727-5","https://poe2db.tw/us/Gem#MetaSkillGem","Cast on Shock","Cast on Shock (1)Buff, Persistent, Trigger, Lightning, Meta","Buff, Persistent, Trigger, Lightning, Meta","Meta","","","","","","Buff","Persistent","","Trigger","Lightning","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/CastOnShockSkill.webp"
"1788936727-6","https://poe2db.tw/us/Gem#MetaSkillGem","Spellslinger","Spellslinger (1)Buff, Persistent, Trigger, Invocation, Meta","Buff, Persistent, Trigger, Invocation, Meta","Meta","","","","","","Buff","Persistent","","Trigger","","","","Invocation","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/SpellslingerWeaponSkill.webp"
"1788936727-7","https://poe2db.tw/us/Gem#MetaSkillGem","Blasphemy","Blasphemy (8)Buff, Persistent, AoE, Aura, Meta","Buff, Persistent, AoE, Aura, Meta","Meta","","","","","AoE","Buff","Persistent","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/WitchBlasphemy.webp"
"1788936727-8","https://poe2db.tw/us/Gem#MetaSkillGem","Cast on Minion Death","Cast on Minion Death (8)Buff, Minion, Persistent, Trigger, Meta","Buff, Minion, Persistent, Trigger, Meta","Meta","","","","","","Buff","Persistent","Minion","Trigger","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/CastOnMinionDeath.webp"
"1788936727-9","https://poe2db.tw/us/Gem#MetaSkillGem","Cast on Critical","Cast on Critical (14)Buff, Persistent, Trigger, Meta","Buff, Persistent, Trigger, Meta","Meta","","","","","","Buff","Persistent","","Trigger","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/CastOnCritSkill.webp"
"1788936727-10","https://poe2db.tw/us/Gem#MetaSkillGem","Cast on Elemental Ailment","Cast on Elemental Ailment (14)Buff, Persistent, Trigger, Lightning, Cold, Fire, Meta","Buff, Persistent, Trigger, Lightning, Cold, Fire, Meta","Meta","","","","","","Buff","Persistent","","Trigger","Lightning","Fire","Cold","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/CastonFreezeShockIgnite.webp"
"1788936727-11","https://poe2db.tw/us/Gem#MetaSkillGem","Animus Splinters","Animus Splinters (1)Meta","Meta","Meta","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/ExpeditionFalseLife.webp"
"1788936727-12","https://poe2db.tw/us/Gem#MetaSkillGem","Fire Spell on Hit","Fire Spell on Hit (1)Buff, Persistent, Trigger, Fire, Meta","Buff, Persistent, Trigger, Fire, Meta","Meta","","","","","","Buff","Persistent","","Trigger","","Fire","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/SmithOfKitavaTriggerFireballsSkillIcon.webp"
"1788936727-13","https://poe2db.tw/us/Gem#MetaSkillGem","Thundergod's Wrath","Thundergod's Wrath (1)Buff, Persistent, Trigger, Lightning, Meta","Buff, Persistent, Trigger, Lightning, Meta","Meta","","","","","","Buff","Persistent","","Trigger","Lightning","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/CastLightningSpellOnHitSkill.webp"
"1788936727-14","https://poe2db.tw/us/Gem#MetaSkillGem","Cast on Block","Cast on Block (1)Buff, Persistent, Trigger, Meta","Buff, Persistent, Trigger, Meta","Meta","","","","","","Buff","Persistent","","Trigger","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/CastOnMeleeBlockSkill.webp"
"1788936727-15","https://poe2db.tw/us/Gem#MetaSkillGem","Cast on Charm Use","Cast on Charm Use (1)Buff, Persistent, Trigger, Meta","Buff, Persistent, Trigger, Meta","Meta","","","","","","Buff","Persistent","","Trigger","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/CastOnCharm.webp"
"1788936727-16","https://poe2db.tw/us/Gem#MetaSkillGem","Hollow Form","Hollow Form (1)Attack, Melee, Sustained, Channelling, Meta","Attack, Melee, Sustained, Channelling, Meta","Meta","Attack","","Melee","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/MartialArtistMantraofIllusionsSkill.webp"
"1788936727-17","https://poe2db.tw/us/Gem#MetaSkillGem","Called Shots","Called Shots (1)Buff, Persistent, AoE, Meta","Buff, Persistent, AoE, Meta","Meta","","","","","AoE","Buff","Persistent","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/DeadeyeMarkMetagemSkill.webp"
"1788936727-18","https://poe2db.tw/us/Gem#MetaSkillGem","Mirage Deadeye","Mirage Deadeye (1)Buff, Persistent, Trigger, Duration, Meta","Buff, Persistent, Trigger, Duration, Meta","Meta","","","","Duration","","Buff","Persistent","","Trigger","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/RangerDeadeyeMirageSkill.webp"
"1788936727-19","https://poe2db.tw/us/Gem#MetaSkillGem","Spirit Vessel","Spirit Vessel (1)Minion, Companion, Persistent, Meta","Minion, Companion, Persistent, Meta","Meta","","","","","","","Persistent","Minion","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/TheAncientOrder.webp"
"1788936727-20","https://poe2db.tw/us/Gem#MetaSkillGem","Pounce","Pounce (3)Attack, Minion, Shapeshift, Werewolf, AoE, Melee, Slam, Trigger, Mark, Duration, Travel, Meta","Attack, Minion, Shapeshift, Werewolf, AoE, Melee, Slam, Trigger, Mark, Duration, Travel, Meta","Meta","Attack","","Melee","Duration","AoE","","","Minion","Trigger","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/DruidWolfLeapAttack.webp"
