web_scraper_order,web_scraper_start_url,weapon,gems,gems2,gems3,gems4,tier,gems5,gems6,gems7,gems8,weapon2
"1788937210-1","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Occult","Unearth","Contagion","Skeletal Sniper","","1","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/witchunearth.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/witcharcherskeleton.webp","","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/witchcontagion.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconOccult.webp"
"1788937210-2","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Occult","Enfeeble","Bone Cage","Essence Drain","Skeletal Arsonist","3","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/4K/enfeeble.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/witchessencedrain.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/witcharsonistskeleton.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/witchbonecage.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconOccult.webp"
"1788937210-3","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Occult","Raise Zombie","Bonestorm","Pain Offering","Skeletal Frost Mage","5","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/witchraisezombie.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/witchpainoffering.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/witchfrostskeleton.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/witchbonestorm.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconOccult.webp"
"1788937210-4","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Occult","Vulnerability","Bind Spectre","Detonate Dead","Profane Ritual","7","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/4K/vulnerability.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/witchdetonatedead.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/witchprofaneritual.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/witchbindspectre.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconOccult.webp"
"1788937210-5","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Occult","Skeletal Reaver","Despair","Dark Effigy","","9","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/witchreaverskeleton.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/witchdarkeffigy.webp","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/4K/Despair.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconOccult.webp"
"1788937210-6","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Occult","Skeletal Storm Mage","Hexblast","Bone Offering","","11","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/witchstormskeleton.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/witchboneoffering.webp","","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/witchhexblast.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconOccult.webp"
"1788937210-7","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Occult","Skeletal Brute","Skeletal Cleric","Soul Offering","","13","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/witchbruteskeleton.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/witchpoweroffering.webp","","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/witchclericskeleton.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconOccult.webp"
"1788937210-8","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Bow","Lightning Arrow","Escape Shot","Poisonburst Arrow","Lightning Rod","1","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/rangerlightningarrow.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/rangerpoisonburstarrow.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/rangerlightningrodrainskill.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/rangerfrostescapeshot.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconBow.webp"
"1788937210-9","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Bow","Freezing Salvo","Stormcaller Arrow","Snipe","Vine Arrow","3","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/rangerfreezingsalvoskill.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/rangersnipeshotarrow.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/rangerpoisonvinearrowskill.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/rangershockingarrow.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconBow.webp"
"1788937210-10","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Bow","Ice-Tipped Arrows","Barrage","Toxic Growth","Electrocuting Arrow","5","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/rangershearingbolts.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/rangerpoisonbloomskill.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/rangerelectrocutingrodskill.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/rangerbarrageskill.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconBow.webp"
"1788937210-11","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Bow","Gas Arrow","Voltaic Mark","Freezing Mark","Sniper's Mark","7","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/rangergascloudskill.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/freezingmarkskill.webp","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/4K/projectileweakness.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/shockingmarkskill.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconBow.webp"
"1788937210-12","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Bow","Ice Shot","Detonating Arrow","Rain of Arrows","","9","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/rangericeshot.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/rangerrainofarrowsskill.webp","","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/rangerdetonatingarrowskill.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconBow.webp"
"1788937210-13","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Bow","Shockchain Arrow","Tornado Shot","","","11","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/rangershockchainskill.webp","","","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/rangertornadoshotskill.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconBow.webp"
"1788937210-14","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Bow","Magnetic Salvo","Spiral Volley","Toxic Domain","","13","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/rangermagneticsalvo.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/rangertoxicdomain.webp","","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/rangerspiralvolleyskill.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconBow.webp"
"1788937210-15","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Mace","Rolling Slam","Boneshatter","Earthquake","","1","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/brutedoubleslam.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/bruteearthquake.webp","","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/bruteboneshatter.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconMace.webp"
"1788937210-16","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Mace","Shield Charge","Shockwave Totem","Armour Breaker","Infernal Cry","3","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/bruteshieldcharge.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/bruteheavystrike.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/bruteinfernalcry.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/bruteshockwavetotem.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconMace.webp"
"1788937210-17","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Mace","Molten Blast","Perfect Strike","Resonating Shield","","5","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/brutemoltenblast.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/bruteresonatingshield.webp","","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/bruteperfectstrike.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconMace.webp"
"1788937210-18","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Mace","Shield Wall","Earthshatter","Volcanic Fissure","Leap Slam","7","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/bruteshieldwall.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/brutevolcanicfissure.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/bruteleapslam.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/bruteearthshatter.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconMace.webp"
"1788937210-19","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Mace","Fortifying Cry","Forge Hammer","Sunder","","9","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/warriorshieldingcry.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/brutesunder.webp","","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/warriorforgehammer.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconMace.webp"
"1788937210-20","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Mace","Supercharged Slam","Seismic Cry","Stampede","","11","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/brutesuperchargedslam.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/brutestampede.webp","","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/bruteseismiccry.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconMace.webp"
"1788937210-21","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Mace","Ancestral Cry","Hammer of the Gods","Ancestral Warrior Totem","","13","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/warriorancestralcry.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/bruteancestralwarriortotem.webp","","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/brutehammerofthegods.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconMace.webp"
"1788937210-22","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Elemental","Spark","Ice Nova","Flame Wall","Frost Bomb","1","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/sorceressspark.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/sorceressflamewall.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/sorceressfrostbomb.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/sorceressicenova.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconElemental.webp"
