web_scraper_order,web_scraper_start_url,name,name2,name3,name4,name5,name6,name7,name8,name9,name10,name11,name12,name13,name14,name15,name16,name17,name18,name19,name20,name21,name22,name23,name24,image
"1788936761-1","https://poe2db.tw/us/Gem#SpiritGems","Herald of Ash","Herald of Ash (4)Buff, Persistent, AoE, Fire, Duration, Herald","Buff, Persistent, AoE, Fire, Duration, Herald","Persistent","","Herald","AoE","","","","Buff","","","Duration","","","","Fire","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/HeraldOfAshSkill.webp"
"1788936761-2","https://poe2db.tw/us/Gem#SpiritGems","Iron Ward","Iron Ward (4)Buff, Persistent, AoE, Physical, Nova","Buff, Persistent, AoE, Physical, Nova","Persistent","","","AoE","","","Physical","Buff","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/WardingSteel.webp"
"1788936761-3","https://poe2db.tw/us/Gem#SpiritGems","Magma Barrier","Magma Barrier (4)Buff, Attack, Persistent, AoE, Melee, Trigger, Fire","Buff, Attack, Persistent, AoE, Melee, Trigger, Fire","Persistent","Attack","","AoE","","","","Buff","","","","","Trigger","","Fire","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/BruteMagmaBarrier.webp"
"1788936761-4","https://poe2db.tw/us/Gem#SpiritGems","Scavenged Plating","Scavenged Plating (4)Buff, Persistent, Physical, Duration","Buff, Persistent, Physical, Duration","Persistent","","","","","","Physical","Buff","","","Duration","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/BruteScavengedPlating.webp"
"1788936761-5","https://poe2db.tw/us/Gem#SpiritGems","Overwhelming Presence","Overwhelming Presence (8)Buff, Persistent, Aura","Buff, Persistent, Aura","Persistent","","","","","","","Buff","","","","Aura","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/OverwhelmingPressureSkill.webp"
"1788936761-6","https://poe2db.tw/us/Gem#SpiritGems","Time of Need","Time of Need (8)Buff, Persistent","Buff, Persistent","Persistent","","","","","","","Buff","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/TimeOfNeedSkill.webp"
"1788936761-7","https://poe2db.tw/us/Gem#SpiritGems","Berserk","Berserk (14)Buff, Persistent","Buff, Persistent","Persistent","","","","","","","Buff","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/BeserkSkill.webp"
"1788936761-8","https://poe2db.tw/us/Gem#SpiritGems","Eternal Rage","Eternal Rage (14)Buff, Persistent","Buff, Persistent","Persistent","","","","","","","Buff","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/CeaselessRageSkill.webp"
"1788936761-9","https://poe2db.tw/us/Gem#SpiritGems","Herald of Thunder","Herald of Thunder (4)Buff, Attack, Persistent, AoE, Lightning, Herald, Payoff","Buff, Attack, Persistent, AoE, Lightning, Herald, Payoff","Persistent","Attack","Herald","AoE","","","","Buff","Payoff","","","","","","","","Lightning","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/HeraldOfThunderSkill.webp"
"1788936761-10","https://poe2db.tw/us/Gem#SpiritGems","Plague Bearer","Plague Bearer (4)Buff, Persistent, AoE, Physical, Chaos, Nova","Buff, Persistent, AoE, Physical, Chaos, Nova","Persistent","","","AoE","Chaos","","Physical","Buff","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/RangerPlagueBearerSkill.webp"
