web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,image
"1788936909-1","https://poe2db.tw/us/Gem#UnknownSupport","Tremors","","","","","TremorsSupport, Attack, Melee, SlamSupports Slam Skills you use yourself. Supported Skills gain multiple independent chances to cause Aftershocks, but deal less Damage.","Support, Attack, Melee, Slam","Support","Slam","Slam","Melee","Attack","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/UnstableEarthSupport.webp"
"1788936909-2","https://poe2db.tw/us/Gem#UnknownSupport","Dazing Cry","","","","","Dazing CrySupport, WarcrySupports Warcries, causing them to Daze Enemies on use.","Support, Warcry","Support","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/DazingCrySupport.webp"
"1788936909-3","https://poe2db.tw/us/Gem#UnknownSupport","Aftershock III","","","","","Aftershock IIISupport, Attack, Melee, SlamSupports Slam Skills. Supported Skills a chance to create an Aftershock as well as increased chance to cause Aftershocks the longer their Attack time","Support, Attack, Melee, Slam","Support","Slam","Slam","Melee","Attack","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/AftershockSupport.webp"
"1788936909-4","https://poe2db.tw/us/Gem#UnknownSupport","[DNT-UNUSED] Iron Will","","","","","[DNT-UNUSED] Iron WillSupport, Spell, Melee[DNT-UNUSED] Modifiers to Melee damage also apply to Spell damage for supported skill","Support, Spell, Melee","Support","","","Melee","","","","","","","","","","","","","Spell","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/BlankRedSupport.webp"
"1788936909-5","https://poe2db.tw/us/Gem#UnknownSupport","[DNT-UNUSED] Iron Grip","","","","","[DNT-UNUSED] Iron GripSupport, Attack, Melee, Projectile[DNT-UNUSED] Modifiers to Melee damage also apply to Projectile damage for supported skill","Support, Attack, Melee, Projectile","Support","","","Melee","Attack","","","","","","","Projectile","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/BlankRedSupport.webp"
"1788936909-6","https://poe2db.tw/us/Gem#UnknownSupport","Lasting Ground","","","","","Lasting GroundSupportSupports Skills that create Ground Surfaces, causing those surfaces to last longer.","Support","Support","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/GroundEffectDurationSupport.webp"
"1788936909-7","https://poe2db.tw/us/Gem#UnknownSupport","First Blood","","","","","First BloodSupport, Attack, PhysicalSupports Attacks. Supported Skills are far more likely to inflict Bleeding on Hitting full Life Enemies.","Support, Attack, Physical","Support","","","","Attack","","","","Physical","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/FirstBloodSupport.webp"
"1788936909-8","https://poe2db.tw/us/Gem#UnknownSupport","[DNT-UNUSED] Timerot","","","","","[DNT-UNUSED] TimerotSupport, Buff[DNT-UNUSED] Timerot","Support, Buff","Support","","","","","","","Buff","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/TimerotSupport.webp"
"1788936909-9","https://poe2db.tw/us/Gem#UnknownSupport","Unabating","","","","","UnabatingSupport, AttackSupports Attack Skills you use yourself. While using Supported Skills, you gain increased Armour, with the increase scaling higher the longer the Attack time of the supported Skill. Cannot Support Channelling Skills.","Support, Attack","Support","","","","Attack","Armour","Channelling","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/UnabatingSupport.webp"
"1788936909-10","https://poe2db.tw/us/Gem#UnknownSupport","Greatwood II","","","","","Greatwood IISupport, Totem[DNT] Supports Skills which create Totems, limiting their active Totem count to one but granting significant benefits for supported Totems based how many allied Totems are near them. Does not support Skills used by Minions.","Support, Totem","Support","","","","","","","","","Minions","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DItems/Gems/New/NewSupport/Lineage/Greatwood.webp"
"1788936909-11","https://poe2db.tw/us/Gem#UnknownSupport","Font of Rage","","","","","Font of RageSupport, TotemSupports Skills which create Totems. Totems created by supported Skills generate a Font of Rage which will Leech Rage to Allies within it.","Support, Totem","Support","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/FontOfRageSupport.webp"
"1788936909-12","https://poe2db.tw/us/Gem#UnknownSupport","Rally","","","","","RallySupport, Attack, MeleeSupports Melee Attacks you use yourself. Supported Skills Consume all Endurance Charge on use, causing you to restore a percentage of your maximum Life for each Charge Consumed. Cannot Support Skills which consume Endurance Charges.","Support, Attack, Melee","Support","","","Melee","Attack","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/RallySupport.webp"
"1788936909-13","https://poe2db.tw/us/Gem#UnknownSupport","Reverberate","","","","","ReverberateSupport, Attack, Melee, SlamSupports Slam Skills. Supported Skills that have a chance to Aftershock have increased chance to cause Aftershocks the longer their Attack time.","Support, Attack, Melee, Slam","Support","Slam","Slam","Melee","Attack","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/ReverberateSupport.webp"
"1788936909-14","https://poe2db.tw/us/Gem#UnknownSupport","Arms Length","","","","","Arms LengthSupportSupports Skills which Hit Enemies, causing Knockback from those Hits to be significantly more effective.","Support","Support","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/ArmsLengthSupport.webp"
