"UniqueItems href","w2 src","uniqueName","uniqueTypeLine","requirements","colourDefault","explicitMod","mod-value","ndash","explicitMod 2","mod-value 2","ndash 2","KeywordPopups","KeywordPopups href","explicitMod 3","KeywordPopups 2","KeywordPopups href 2","explicitMod 4","mod-value 3","KeywordPopups 3","KeywordPopups href 3","explicitMod 5","mod-value 4","KeywordPopups 4","KeywordPopups href 4","colourDefault 2","ndash 3","KeywordPopups 5","KeywordPopups href 5","mod-value 5","ndash 4","KeywordPopups 6","KeywordPopups href 6","KeywordPopups 7","KeywordPopups href 7","KeywordPopups 8","KeywordPopups href 8","implicitMod","colourDefault 3"
"https://poe2db.tw/us/Bramblejack","https://cdn.poe2db.tw/image/Art/2DItems/Armours/BodyArmours/Uniques/Bramblejack.webp","Bramblejack","Rusted Cuirass","Requires:","Level 1","to maximum Life","+(60100)","—","to","+(60100)","—","Stun Threshold","https://poe2db.tw/us/Player_Stun_Threshold","Cannot Evade Enemy","Attacks","https://poe2db.tw/us/Attacks","% of  Physical Damage taken reflected to Attacker","250","Melee","https://poe2db.tw/us/Melee","Regenerate % of maximum Life per second while","5","Surrounded","https://poe2db.tw/us/Surrounded","","","","","","","","","","","","","",""
"https://poe2db.tw/us/Blackbraid","https://cdn.poe2db.tw/image/Art/2DItems/Armours/BodyArmours/Uniques/Blackbraid.webp","Blackbraid","Fur Plate","Requires:  ,","Level 4","to","+(4060)","—","to","+(515)","—","Armour","https://poe2db.tw/us/Armour","to","Strength","https://poe2db.tw/us/Strength","% to all","+(515)","Intelligence","https://poe2db.tw/us/Intelligence","% of  also applies to","+10","Elemental","https://poe2db.tw/us/Elemental_Damage_Types","10 Str","—","Resistances","https://poe2db.tw/us/Resistances","+(100150)","—","Armour","https://poe2db.tw/us/Armour","Elemental Damage","https://poe2db.tw/us/Elemental_Damage_Types","Stun Threshold","https://poe2db.tw/us/Player_Stun_Threshold","",""
"https://poe2db.tw/us/Edyrns_Tusks","https://cdn.poe2db.tw/image/Art/2DItems/Armours/BodyArmours/Uniques/EdyrnsTusks.webp","Edyrn's Tusks","Iron Cuirass","Requires:  ,","Level 11","% increased","(120160)","—","% chance to inflict  on","50","—","Armour","https://poe2db.tw/us/Armour","% reduced  Potency of  on You","Bleeding","https://poe2db.tw/us/Bleeding","to    damage","50","Hit","https://poe2db.tw/us/Hit_Damage","","(1520)","Slowing","https://poe2db.tw/us/Slow","21 Str","—","Debuffs","https://poe2db.tw/us/Debuffs","(2530)","","Physical","https://poe2db.tw/us/Physical_Damage","Thorns","https://poe2db.tw/us/Thorns","","","",""
"https://poe2db.tw/us/Titanrot_Cataphract","https://cdn.poe2db.tw/image/Art/2DItems/Armours/BodyArmours/Uniques/TitanrotCataphract.webp","Titanrot Cataphract","Maraketh Cuirass","Requires:  ,","Level 20","% increased","(400500)","—","% increased","(1530)","—","Armour","https://poe2db.tw/us/Armour","% reduced","Strength","https://poe2db.tw/us/Strength","% reduced","10","Dexterity","https://poe2db.tw/us/Dexterity","You have no Life Regeneration","10","Intelligence","https://poe2db.tw/us/Intelligence","34 Str","","","","","","","","","","","","",""
"https://poe2db.tw/us/Wandering_Reliquary","https://cdn.poe2db.tw/image/Art/2DItems/Armours/BodyArmours/Uniques/WanderingReliquary.webp","Wandering Reliquary","Steel Plate","Requires:  ,","Level 27","% increased","(50100)","—","to maximum Mana","+(4060)","—","Armour","https://poe2db.tw/us/Armour","to","Strength","https://poe2db.tw/us/Strength","to","+(1020)","Stun Threshold","https://poe2db.tw/us/Player_Stun_Threshold","% of Physical Damage prevented  as Life","+(6080)","Recouped","https://poe2db.tw/us/Recoup","45 Str","—","","","50","—","","","","","","","",""
"https://poe2db.tw/us/Kingsguard","https://cdn.poe2db.tw/image/Art/2DItems/Armours/BodyArmours/Uniques/Kingsguard.webp","Kingsguard","Full Plate","Requires:  ,","Level 33","to maximum Life","+(6080)","—","to maximum Mana","+(4060)","—","Elemental","https://poe2db.tw/us/Elemental_Damage_Types","% to all","Resistances","https://poe2db.tw/us/Resistances","% reduced  Duration","+(510)","Endurance Charge","https://poe2db.tw/us/Charges","Recover % of maximum Life for each  consumed","25","Endurance Charge","https://poe2db.tw/us/Charges","54 Str","—","","","5","","","","","","","","",""
"https://poe2db.tw/us/Greeds_Embrace","https://cdn.poe2db.tw/image/Art/2DItems/Armours/BodyArmours/Uniques/GreedsEmbrace.webp","Greed's Embrace","Vaal Cuirass","Requires:  ,","Level 37","% increased  Requirement","50","—","% reduced Movement Speed","20","—","Strength","https://poe2db.tw/us/Strength","% increased","Armour","https://poe2db.tw/us/Armour","% increased  found","(100150)","Rarity of Items","https://poe2db.tw/us/Item_Rarity","% to","(3050)","Fire Resistance","https://poe2db.tw/us/Resistances","","—","","","+(2030)","","","","","","","","",""
"https://poe2db.tw/us/The_Brass_Dome","https://cdn.poe2db.tw/image/Art/2DItems/Armours/BodyArmours/Uniques/BrassDome.webp","The Brass Dome","Champion Cuirass","Requires:  ,","Level 58","% increased","(500600)","—","% to all","(-5-1)","—","Armour","https://poe2db.tw/us/Armour","to","Maximum Elemental Resistances","https://poe2db.tw/us/Maximum_Resistances","Take no Extra Damage from","+(200300)","Stun Threshold","https://poe2db.tw/us/Player_Stun_Threshold","","","Critical Hits","https://poe2db.tw/us/Critical_Hits","92 Str","—","","","","","","","","","","","",""
"https://poe2db.tw/us/Kaoms_Heart","https://cdn.poe2db.tw/image/Art/2DItems/Armours/BodyArmours/Uniques/KaomsHeart.webp","Kaom's Heart","Conqueror Plate","Requires:  ,","Level 68","to maximum Life","+1500","","You have no","","","Spirit","https://poe2db.tw/us/Spirit","","","","","","","","","","","","121 Str","","","","","","","","","","","","% increased",""
"https://poe2db.tw/us/Bristleboar","https://cdn.poe2db.tw/image/Art/2DItems/Armours/BodyArmours/Uniques/Bristleboar.webp","Bristleboar","Leather Vest","Requires:","Level 1","% reduced  Rating","50","—","to maximum Life","+(4060)","—","Evasion","https://poe2db.tw/us/Evasion","Life Regeneration per second","Rage","https://poe2db.tw/us/Rage","Gain   when  by an Enemy","(35)","Critically Hit","https://poe2db.tw/us/Critical_Hits","Gain   when  by an Enemy","10","Rage","https://poe2db.tw/us/Rage","","","Hit","https://poe2db.tw/us/Hit_Damage","5","","","","","","","","",""
