web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,image
"1788938433-1","https://poe2db.tw/us/Unique_item#CultivatedUniques","Greed's Embrace","100","(-40—40)% reduced Attack Damage while Surrounded","(-40—40)","","","","","","50","(100—150)% increased Armour","(30—50)% increased Rarity of Items found","(100—150)","50% increased Strength Requirement","(30—50)","20% reduced Movement Speed","100% reduced Presence Area of Effect","20","","","","","+(20—30)","+(20—30)% to Fire Resistance","","","","","","","","Fire Resistance","Strength","Surrounded","Presence","","","","","","","","Attack","","","","","","","https://cdn.poe2db.tw/image/Art/2DItems/Armours/BodyArmours/Uniques/GreedsEmbrace.webp"
"1788938433-2","https://poe2db.tw/us/Unique_item#CultivatedUniques","Soul Tether","(10—15)","Lose (2.5—5)% of maximum Life per second","(2.5—5)","Energy Shield","","","","","5","+(20—30) to Intelligence","+(40—60) to maximum Energy Shield","+(20—30)","You lose 5% of maximum Energy Shield per second","+(40—60)","Excess Life Recovery from Leech is applied to Energy Shield","(10—15)% increased Energy Shield Recovery rate","","Life Regeneration is applied to Energy Shield instead","(-25—25)","Leech Life (-25—25)% slower","","","","","","","","","","","","","","","Energy Shield","Leech","","","","","","","","Intelligence","Energy Shield","","","","https://cdn.poe2db.tw/image/Art/2DItems/Belts/Uniques/SoulTether.webp"
"1788938433-3","https://poe2db.tw/us/Unique_item#CultivatedUniques","Idle Hands","(4—6)","(10—20)% increased maximum Mana","(10—20)","","","","","","90","(40—60)% increased Evasion Rating","25% increased Attack Speed while on Full Mana","(40—60)","You count as on Full Mana while at 90% of maximum Mana or above","25","+(5—10) to Intelligence","Leech (4—6)% of Physical Attack Damage as Mana","+(5—10)","Meta Skills gain 25% increased Energy while on Full Mana","25","25% increased Mana Cost Efficiency","25","+(60—100)","+(60—100) to Accuracy Rating","","","","","","","","","","","","","","","Evasion","","","","Attack","","Intelligence","","","","","https://cdn.poe2db.tw/image/Art/2DItems/Armours/Gloves/Uniques/IdleHands.webp"
"1788938433-4","https://poe2db.tw/us/Unique_item#CultivatedUniques","Demon Stitcher","(20—30)","(10—15)% of Maximum Life Converted to Energy Shield","(10—15)","Energy Shield","","","","","(6—12)","+(40—60) to maximum Energy Shield","+(80—120) to maximum Life","+(40—60)","(6—12)% increased Cast Speed","+(80—120)","Sacrifice (5—15)% of maximum Life to gain that much Energy Shield when you Cast a Spell","(20—30)% increased Cost Efficiency","(5—15)","(20—40)% increased effect of Arcane Surge on you","(25—50)","(25—50)% of Spell Mana Cost Converted to Life Cost","(20—40)","","","","","","","","","","","","","","","","","","","","Spell","","Energy Shield","","","Energy Shield","","","https://cdn.poe2db.tw/image/Art/2DItems/Armours/Gloves/Uniques/DemonStitcher.webp"
"1788938433-5","https://poe2db.tw/us/Unique_item#CultivatedUniques","Rearguard","+(50—150)","(20—30)% increased Surrounded Area of Effect","(20—30)","","","","","","+(15—25)","Adds (7—11) to (14—20) Physical Damage to Attacks","(20—30)% increased Projectile Speed","(7—11)","+(15—25)% to Block chance","(20—30)","+(150—200) to Armour","+(50—150) to Evasion Rating","+(150—200)","(15—25)% increased Deflection Rating","25","25% increased Attack Speed","(15—25)","","","","","","","","","","","","Surrounded","","","","","","","","","Attack","","","","","","","https://cdn.poe2db.tw/image/Art/2DItems/Quivers/Uniques/Rearguard.webp"
"1788938433-6","https://poe2db.tw/us/Unique_item#CultivatedUniques","Soul Mantle","25","(10—20)% increased Totem Damage per Curse on you","(10—20)","Totems","","Energy Shield","","","(20—30)","(80—120)% increased Armour and Energy Shield","+1 to maximum number of Summoned Totems","(80—120)","(20—30)% reduced Totem Life","+1","Inflicts a random Curse on you when your Totems die, ignoring Curse limit","25% increased Attack and Cast Speed if you've summoned a Totem Recently","","+(40—50) to Spirit","(-30—30)","(-30—30)% reduced Totem Duration","+(40—50)","+10","+10 to Strength","+(50—80) to maximum Energy Shield","+15","+15 to Intelligence","","+(50—80)","","","","Strength","","","","","","","","","","Attack","","Intelligence","","Energy Shield","","","https://cdn.poe2db.tw/image/Art/2DItems/Armours/BodyArmours/Uniques/SoulMantle.webp"
"1788938433-7","https://poe2db.tw/us/Unique_item#CultivatedUniques","Corona of the Red Sun","+(1—2)","(25—50)% increased Presence Area of Effect","(25—50)","Hits","same amount","","","","+(100—150)","+(60—80) to maximum Life","25% increased Light Radius","+(60—80)","+(100—150) to Accuracy Rating","25","Leeching Life from your Hits causes Allies in your Presence to also Leech the same amount of Life","+(1—2) to Level of all Minion Skills","","","+(100—150)","+(100—150) to Armour","","+(20—25)","+(20—25)% to Fire Resistance","","","","","","","","Fire Resistance","","","Presence","","Leeching Life","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DItems/Armours/Helmets/Uniques/CoronaOfTheRedSun.webp"
"1788938433-8","https://poe2db.tw/us/Unique_item#CultivatedUniques","Rise of the Phoenix","(5—10)","25% increased Flammability Magnitude","25","","","","","Low Life","+5","+(20—25)% to Fire Resistance","Regenerate 3% of maximum Life per second","+(20—25)","+5% to Maximum Fire Resistance","3","Regenerate 3% of maximum Life per second while on Low Life","Burning Enemies you kill have a (5—10)% chance to Explode, dealing a
tenth of their maximum Life as Fire Damage","3","Regenerate 3% of maximum Life per second while Ignited","+1","+1 to Level of all Fire Skills","3","+25","+25% to Fire Resistance while on Low Life","","","","","","","","Fire Resistance","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DItems/Offhand/Shields/Crest06.webp"
"1788938433-9","https://poe2db.tw/us/Unique_item#CultivatedUniques","Atziri's Disdain","10","(5—10)% increased maximum Life","(5—10)","","","","","","(10—20)","+(60—100) to maximum Mana","Gain (10—15)% of maximum Life as Extra maximum Energy Shield","+(60—100)","(10—20)% increased Rarity of Items found","(10—15)","10% of Damage taken bypasses Energy Shield","10% of Damage is taken from Mana before Life","10","","(6—10)","(6—10)% of Damage taken Recouped as Mana","","","","","","","","","","","","","","","Energy Shield","","","","Recouped","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DItems/Armours/Helmets/Uniques/AtzirisDisdain.webp"
"1788938433-10","https://poe2db.tw/us/Unique_item#CultivatedUniques","Coward's Legacy","(2—3)","(20—30)% increased Flask Charges gained","(20—30)","","","","","","(-20—-10)","(30—40)% increased Life and Mana Recovery from Flasks","+(20—30) to Dexterity","(30—40)","(-20—-10) to Strength","+(20—30)","You are considered on Low Life while at 75% of maximum Life or below instead","Regenerate (2—3)% of maximum Life per second while on Low Life","75","","+(100—150)","+(100—150) to Evasion Rating while on Low Life","","","","","","","","","","","","Strength","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DItems/Belts/Uniques/CowardsLegacy.webp"
