web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,image
"1788938138-1","https://poe2db.tw/us/Unique_item","+(5—10)% to Critical Damage Bonus","","","+(5—10)","","—",""
"1788938138-2","https://poe2db.tw/us/Unique_item","Grants Skill: Level 11 Molten Shower","","Molten Shower","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/VolcanicEruptionSkillIcon.webp"
"1788938138-3","https://poe2db.tw/us/Unique_item","Grants Skill: Level 15 Thundergod's Wrath","","Thundergod's Wrath","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/CastLightningSpellOnHitSkill.webp"
"1788938138-4","https://poe2db.tw/us/Unique_item","Grants Skill: Level 12 Runic Tempering","","Runic Tempering","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/SerlesMasterwork.webp"
"1788938138-5","https://poe2db.tw/us/Unique_item","Has 3 Sockets","","","3","","",""
"1788938138-6","https://poe2db.tw/us/Unique_item","Causes (20—40)% increased Stun Buildup","","","(20—40)","","—",""
"1788938138-7","https://poe2db.tw/us/Unique_item","Crushes Enemies on Hit","","","","","",""
"1788938138-8","https://poe2db.tw/us/Unique_item","Strikes deal Splash Damage","","","","Splash Damage","",""
"1788938138-9","https://poe2db.tw/us/Unique_item","Causes Enemies to Explode on Critical kill, for 10% of their Life as Physical Damage","","","10","Physical Damage","",""
"1788938138-10","https://poe2db.tw/us/Unique_item","Warcries Empower 1 additional Attacks","","","1","Empower","",""
"1788938138-11","https://poe2db.tw/us/Unique_item","Grants Skill: Spear Throw","","Spear Throw","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/HuntressIceSpear.webp"
"1788938138-12","https://poe2db.tw/us/Unique_item","Grants Skill: Spear Throw","","Spear Throw","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/HuntressIceSpear.webp"
"1788938138-13","https://poe2db.tw/us/Unique_item","Grants Skill: Spear Throw","","Spear Throw","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/HuntressIceSpear.webp"
"1788938138-14","https://poe2db.tw/us/Unique_item","(15—25)% chance to Maim on Hit","","","(15—25)","Hit","—",""
"1788938138-15","https://poe2db.tw/us/Unique_item","Grants Skill: Spear Throw","","Spear Throw","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/HuntressIceSpear.webp"
"1788938138-16","https://poe2db.tw/us/Unique_item","Grants Skill: Spear Throw","","Spear Throw","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/HuntressIceSpear.webp"
"1788938138-17","https://poe2db.tw/us/Unique_item","(25—35)% increased Projectile Speed with this Weapon","","","(25—35)","","—",""
"1788938138-18","https://poe2db.tw/us/Unique_item","Grants Skill: Spear Throw","","Spear Throw","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/HuntressIceSpear.webp"
"1788938138-19","https://poe2db.tw/us/Unique_item","Grants Skill: Spear Throw","","Spear Throw","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/HuntressIceSpear.webp"
"1788938138-20","https://poe2db.tw/us/Unique_item","Bleeding you inflict deals Damage (10—20)% faster","","","(10—20)","","—",""
"1788938138-21","https://poe2db.tw/us/Unique_item","Grants Skill: Spear Throw","","Spear Throw","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/HuntressIceSpear.webp"
"1788938138-22","https://poe2db.tw/us/Unique_item","Grants Skill: Level 15 Chaotic Surge","","Chaotic Surge","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/SpireofIreSkillIcon.webp"
"1788938138-23","https://poe2db.tw/us/Unique_item","16% increased Melee Strike Range with this weapon","","","16","Strike","",""
"1788938138-24","https://poe2db.tw/us/Unique_item","Grants Skill: Chaos Bolt","Chaos Bolt","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/ChaosBoltWeaponSkill.webp"
"1788938138-25","https://poe2db.tw/us/Unique_item","Grants Skill: Bone Blast","Bone Blast","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/BoneBlastWeaponSkill.webp"
"1788938138-26","https://poe2db.tw/us/Unique_item","Grants Skill: Mana Drain","Mana Drain","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/ManaDrainWeaponSkill.webp"
"1788938138-27","https://poe2db.tw/us/Unique_item","Grants Skill: Power Siphon","Power Siphon","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/PowerSiphonWeaponSkill.webp"
"1788938138-28","https://poe2db.tw/us/Unique_item","Grants Skill: Level 15 Pinnacle of Power","","Pinnacle of Power","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/ElementalPowerSkillWand.webp"
"1788938138-29","https://poe2db.tw/us/Unique_item","Grants Skill: Volatile Dead","Volatile Dead","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/VolatileDeadWeaponSkill.webp"
"1788938138-30","https://poe2db.tw/us/Unique_item","Grants Skill: Decompose","Decompose","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/DecomposeSkill.webp"
"1788938138-31","https://poe2db.tw/us/Unique_item","Grants Skill: Coiling Bolts","Coiling Bolts","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/CoilOfUndoingSkill.webp"
"1788938138-32","https://poe2db.tw/us/Unique_item","Grants Skill: Level 15 The Stars Answer","","The Stars Answer","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Runeseeker.webp"
"1788938138-33","https://poe2db.tw/us/Unique_item","Grants Skill: Firebolt","Firebolt","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/FireballSkillStaff.webp"
"1788938138-34","https://poe2db.tw/us/Unique_item","Grants Skill: Level 1 Ember Fusillade","Ember Fusillade","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/SorceressBlazingCluster.webp"
"1788938138-35","https://poe2db.tw/us/Unique_item","Grants Skill: Freezing Shards","Freezing Shards","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/FreezingShardsStaff.webp"
"1788938138-36","https://poe2db.tw/us/Unique_item","Grants Skill: Lightning Bolt","Lightning Bolt","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/LightningBoltSkillStaff.webp"
"1788938138-37","https://poe2db.tw/us/Unique_item","Grants Skill: Level 1 Spark","Spark","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/SorceressSpark.webp"
"1788938138-38","https://poe2db.tw/us/Unique_item","Grants Skill: Solar Orb","Solar Orb","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/SorceressSolarOrb.webp"
"1788938138-39","https://poe2db.tw/us/Unique_item","Grants Skill: Sigil of Power","Sigil of Power","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/SigilofPowerWeaponSkill.webp"
"1788938138-40","https://poe2db.tw/us/Unique_item","Grants Skill: Sigil of Power","Sigil of Power","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/SigilofPowerWeaponSkill.webp"
"1788938138-41","https://poe2db.tw/us/Unique_item","Grants Skill: Feast of Flesh","Feast of Flesh","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/WeaponFeastofFlesh.webp"
"1788938138-42","https://poe2db.tw/us/Unique_item","Grants Skill: Heart of Ice","Heart of Ice","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/ChillingAuraSkillStaff.webp"
"1788938138-43","https://poe2db.tw/us/Unique_item","Grants Skill: Level 17 Icestorm","Icestorm","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/IceStormSkillStaff.webp"
"1788938138-44","https://poe2db.tw/us/Unique_item","Grants Skill: Mirror of Refraction","Mirror of Refraction","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/AtzirisRule.webp"
"1788938138-45","https://poe2db.tw/us/Unique_item","Grants Skill: Spiraling Conspiracy","Spiraling Conspiracy","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/RoostOfTheRavenKingSwarm.webp"
"1788938138-46","https://poe2db.tw/us/Unique_item","(25—35)% chance to Chain an additional time","","","(25—35)","","—",""
"1788938138-47","https://poe2db.tw/us/Unique_item","+50% Surpassing chance to fire an additional Arrow","","","+50","","",""
"1788938138-48","https://poe2db.tw/us/Unique_item","Grants Skill: Level 11 Phantasmal Arrow","","Phantasmal Arrow","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/GhostfuseArrow.webp"
"1788938138-49","https://poe2db.tw/us/Unique_item","50% reduced Projectile Range","","","50","","",""
"1788938138-50","https://poe2db.tw/us/Unique_item","(20—30)% increased Bolt Speed","","","(20—30)","","—",""
"1788938138-51","https://poe2db.tw/us/Unique_item","Grants Skill: Level 6 Gemini Surge","","Gemini Surge","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/AmazonElementalInfusionSkillIcon.webp"
"1788938138-52","https://poe2db.tw/us/Unique_item","Loads an additional bolt","","","","","",""
"1788938138-53","https://poe2db.tw/us/Unique_item","Grants Skill: Skeletal Warrior","Skeletal Warrior","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/WitchWarriorSkeleton.webp"
"1788938138-54","https://poe2db.tw/us/Unique_item","Grants Skill: Discipline","Discipline","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/DisciplineWeaponSkill.webp"
"1788938138-55","https://poe2db.tw/us/Unique_item","Grants Skill: Level 14 Azmerian Wolf","","Azmerian Wolf","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/ThePackLeaderBaseMinionSkill.webp"
"1788938138-56","https://poe2db.tw/us/Unique_item","Grants Skill: Malice","Malice","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/MaliceWeaponSkill.webp"
"1788938138-57","https://poe2db.tw/us/Unique_item","Grants Skill: Purity of Fire","Purity of Fire","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/PurityofFireWeaponSkill.webp"
"1788938138-58","https://poe2db.tw/us/Unique_item","Grants Skill: Purity of Fire","Purity of Fire","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/PurityofFireWeaponSkill.webp"
"1788938138-59","https://poe2db.tw/us/Unique_item","Grants Skill: Purity of Ice","Purity of Ice","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/PurityofColdWeaponSkill.webp"
"1788938138-60","https://poe2db.tw/us/Unique_item","Grants Skill: Purity of Lightning","Purity of Lightning","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/PurityofLightningWeaponSkill.webp"
"1788938138-61","https://poe2db.tw/us/Unique_item","Grants Skill: Impurity","Impurity","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/PurityofChaosWeaponSkill.webp"
"1788938138-62","https://poe2db.tw/us/Unique_item","Grants Skill: Level 2 Sanguine Revelry","","Sanguine Revelry","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/CrimsonChrysalis.webp"
"1788938138-63","https://poe2db.tw/us/Unique_item","Grants Skill: Level 5 Cackling Companions","","Cackling Companions","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/HandoftheClanSkill.webp"
"1788938138-64","https://poe2db.tw/us/Unique_item","Minions deal (30—50)% increased Damage","","","(30—50)","","—",""
"1788938138-65","https://poe2db.tw/us/Unique_item","Grants Skill: Level 16 Harbinger of Madness","","Harbinger of Madness","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Murkmaw.webp"
"1788938138-66","https://poe2db.tw/us/Unique_item","Grants Skill: Level 16 Starborn Onslaught","","Starborn Onslaught","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/HimindrygrSkillIcon.webp"
"1788938138-67","https://poe2db.tw/us/Unique_item","+(30—50) to maximum Runic Ward","","","+(30—50)","","—",""
"1788938138-68","https://poe2db.tw/us/Unique_item","local weapon implicit hidden added maximum chaos damage [64]
local weapon implicit hidden added minimum chaos damage [28]","","","","","",""
"1788938138-69","https://poe2db.tw/us/Unique_item","Grants Skill: Level 16 Azmerian Swarms","","Azmerian Swarms","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/FluttermothSkillIcon.webp"
"1788938138-70","https://poe2db.tw/us/Unique_item","Grants Skill: Level 17 Requiem","","Requiem","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/RequiemChargeSkillCrossbow.webp"
"1788938138-71","https://poe2db.tw/us/Unique_item","Cannot load or fire Ammunition","","","","","",""
"1788938138-72","https://poe2db.tw/us/Unique_item","Grants Skill: Spear Throw","","Spear Throw","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/HuntressIceSpear.webp"
"1788938138-73","https://poe2db.tw/us/Unique_item","Grants Skill: Level 17 Shattering Spite","","Shattering Spite","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/AtzirisContempt.webp"
"1788938138-74","https://poe2db.tw/us/Unique_item","Grants Skill: Spear Throw","","Spear Throw","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/HuntressIceSpear.webp"
"1788938138-75","https://poe2db.tw/us/Unique_item","Grants Skill: Level 18 Righteous Descent","","Righteous Descent","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/ChallengersAscentSkill.webp"
"1788938138-76","https://poe2db.tw/us/Unique_item","25% increased Melee Strike Range with this weapon","","","25","Strike","",""
"1788938138-77","https://poe2db.tw/us/Unique_item","Grants Skill: Level 17 Molten Crash","","Molten Crash","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/VesselofWrath.webp"
"1788938138-78","https://poe2db.tw/us/Unique_item","(50—80)% increased Flammability Magnitude
local weapon implicit hidden % base damage is fire [30]","","","(50—80)","Magnitude","—",""
